Thu 29 Aug 2024 04:51:59 IDT

SLURM_JOBID:		 969639
SLURM_JOB_NODELIST:	 ise-cpu-intl-18 


executing python ./train_darpatc.py --scene cadets
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:10
Data(edge_index=[2, 4347080], test_mask=[362645], train_mask=[362645], x=[362645, 56], y=[362645])
feature  56 ; label  6
1 234.93397338795762 0.8537660797749865 2024-08-29 04:53:08
2 49.96522575736574 0.8643328875346413 2024-08-29 04:53:44
3 26.88499874214251 0.9085248659157027 2024-08-29 04:54:19
4 22.81210588220299 0.9143515007789987 2024-08-29 04:54:56
5 16.036195163024722 0.9093852114326683 2024-08-29 04:55:35
6 12.524945159374859 0.9092335479601263 2024-08-29 04:56:15
7 8.817159859556462 0.9126197796743372 2024-08-29 04:56:54
8 5.906211719415112 0.8091963214714114 2024-08-29 04:57:34
9 3.1257251313991405 0.9163010657805843 2024-08-29 04:58:13
10 3.584530436576319 0.8695638985784996 2024-08-29 04:58:53
11 9.050409059651324 0.9141805346826787 2024-08-29 04:59:31
12 7.08794555051128 0.9181293000041363 2024-08-29 05:00:10
13 4.8963964048607 0.9182313281583918 2024-08-29 05:00:49
14 5.6507667983038 0.7637910353100139 2024-08-29 05:01:28
15 3.1403043241758835 0.7530284437948959 2024-08-29 05:02:08
16 3.2872308324256383 0.7532545602448676 2024-08-29 05:02:48
17 1.7244605686419059 0.752096402818183 2024-08-29 05:03:29
18 1.7793437302088746 0.7457237794537358 2024-08-29 05:04:10
19 1.3214851275293291 0.7517792882846861 2024-08-29 05:04:50
20 3.3087614718607616 0.7518096209791946 2024-08-29 05:05:30
21 3.1232554792476876 0.7509713356036896 2024-08-29 05:06:11
22 2.169799053592055 0.7470639330474707 2024-08-29 05:06:50
23 1.4638995344063002 0.74704187290601 2024-08-29 05:07:30
24 0.848130328813128 0.7467302734078782 2024-08-29 05:08:10
25 0.8578107294699507 0.07875194749686332 2024-08-29 05:08:51
26 0.8097222920064292 0.7744571137062416 2024-08-29 05:09:30
27 0.7490693352246736 0.7762329550938245 2024-08-29 05:10:10
28 0.7478147557596703 0.7736077982600064 2024-08-29 05:10:50
29 0.7324056262720405 0.7758275999944849 2024-08-29 05:11:30
81295
281350
1 1.9591222269830246 0.04573467002890707 2024-08-29 05:12:40
2 1.6715668286555176 0.01912786764253644 2024-08-29 05:13:01
3 1.3758843539715606 0.07288271111384464 2024-08-29 05:13:23
4 1.2305512172840452 0.7480041822990344 2024-08-29 05:13:44
5 1.1814297740988364 0.7894704471369703 2024-08-29 05:14:05
6 1.1781249563957508 0.777723107202165 2024-08-29 05:14:26
7 1.0069564634806791 0.7777354080816778 2024-08-29 05:14:47
8 0.9479223325013659 0.777612399286549 2024-08-29 05:15:08
18079
63216
1 2.7650332535926703 0.0 2024-08-29 05:15:38
2 2.6484526858484596 0.00016593838154765198 2024-08-29 05:15:52
3 2.4482339633316244 0.0026550141047624316 2024-08-29 05:16:05
4 2.2959348929258723 0.0053653410033740806 2024-08-29 05:16:19
5 2.1415869599389876 0.15880303114110295 2024-08-29 05:16:33
6 2.0212229731415374 0.22943746888655345 2024-08-29 05:16:47
7 1.9855519664637697 0.30422036617069526 2024-08-29 05:17:00
8 1.7924107590425369 0.3146744842081974 2024-08-29 05:17:14
9 1.75945666580906 0.32711986282427125 2024-08-29 05:17:28
10 1.6667273504635527 0.32452016151335805 2024-08-29 05:17:41
11 1.6669763326117393 0.32075889153161125 2024-08-29 05:17:55
12 1.6516536192738631 0.3329277061784391 2024-08-29 05:18:09
13 1.5809471573711753 0.3365230377786382 2024-08-29 05:18:23
14 1.5668392621730372 0.3384589855633608 2024-08-29 05:18:36
15 1.5345926836888817 0.33829304718181313 2024-08-29 05:18:50
16 1.4957081655781053 0.34564964876375903 2024-08-29 05:19:04
17 1.4622392830539312 0.3433265114220919 2024-08-29 05:19:18
18 1.4130629561987789 0.3422755683389568 2024-08-29 05:19:31
19 1.3771304658994428 0.33320427014768517 2024-08-29 05:19:45
20 1.396181759709535 0.33054925604292273 2024-08-29 05:19:59
21 1.3997944210923294 0.33165551191990705 2024-08-29 05:20:13
22 1.386091996732094 0.31268322362962553 2024-08-29 05:20:26
23 1.3569271243563452 0.3132363515681177 2024-08-29 05:20:40
24 1.3531077443330226 0.30493943249073513 2024-08-29 05:20:54
25 1.3503367381454852 0.3017866032413297 2024-08-29 05:21:07
26 1.309030568278583 0.30493943249073513 2024-08-29 05:21:21
27 1.3498505262471623 0.307207257038553 2024-08-29 05:21:35
28 1.3261169550119363 0.3288898722274462 2024-08-29 05:21:49
29 1.3235441615039634 0.3261795453288346 2024-08-29 05:22:02
30 1.326438048981916 0.31412135626970517 2024-08-29 05:22:16
31 1.3237544728351434 0.31301510039272085 2024-08-29 05:22:30
32 1.3160428245468896 0.31583605287903094 2024-08-29 05:22:43
33 1.3257062066095224 0.3282261187012556 2024-08-29 05:22:57
34 1.3159918400215176 0.3370761657171304 2024-08-29 05:23:11
35 1.296640351834211 0.32579235577189003 2024-08-29 05:23:25
36 1.2967240305902736 0.31362354112506224 2024-08-29 05:23:38
37 1.2691552824359253 0.3182145030145473 2024-08-29 05:23:52
38 1.2773636712774226 0.31843575418994413 2024-08-29 05:24:06
39 1.2820832470862684 0.31716355993141215 2024-08-29 05:24:19
40 1.2511048146110237 0.3169976215498645 2024-08-29 05:24:33
41 1.2555535173671977 0.3193207588915316 2024-08-29 05:24:47
42 1.2636050998495312 0.31854637977764255 2024-08-29 05:25:01
43 1.243865206030738 0.3171082471375629 2024-08-29 05:25:15
44 1.2609080142089701 0.3164998064052215 2024-08-29 05:25:28
45 1.2319092362306439 0.3161679296421262 2024-08-29 05:25:42
46 1.2876734444047835 0.3167763703744676 2024-08-29 05:25:56
47 1.229689585594841 0.317384811106809 2024-08-29 05:26:10
48 1.267491487764641 0.33884617512030535 2024-08-29 05:26:23
49 1.2768068623045614 0.3387908623264561 2024-08-29 05:26:37
50 1.256974668957516 0.34033962055423417 2024-08-29 05:26:51
51 1.2460674796657518 0.31882294374688863 2024-08-29 05:27:05
52 1.5384666416469523 0.31882294374688863 2024-08-29 05:27:19
53 1.273816011840708 0.32319265446097684 2024-08-29 05:27:33
54 1.2499510539607326 0.3443221417113778 2024-08-29 05:27:46
55 1.2472563255966695 0.3424968195143537 2024-08-29 05:28:00
56 1.2299965706419658 0.33989711820344043 2024-08-29 05:28:14
57 1.2279152943567204 0.3189335693345871 2024-08-29 05:28:28
58 1.2189605335422016 0.31849106698379337 2024-08-29 05:28:42
59 1.2190461125255942 0.3183804413960949 2024-08-29 05:28:55
60 1.2127443731566354 0.322473588140937 2024-08-29 05:29:09
61 1.2193781692928047 0.3243542231318104 2024-08-29 05:29:23
62 1.1960887502230033 0.32429891033796115 2024-08-29 05:29:36
63 1.207841892653621 0.32380109519331823 2024-08-29 05:29:50
64 1.2142770155663445 0.3234692184302229 2024-08-29 05:30:04
65 1.1928377905622034 0.3246307871010565 2024-08-29 05:30:17
66 1.2189128900617419 0.32429891033796115 2024-08-29 05:30:31
67 1.2187516857508347 0.323745782399469 2024-08-29 05:30:45
68 1.1928423413911735 0.3231373416671276 2024-08-29 05:30:59
69 1.204660093311557 0.32330328004867526 2024-08-29 05:31:12
70 1.1707553215289024 0.323247967254826 2024-08-29 05:31:26
71 1.2238374941314347 0.32369046960561976 2024-08-29 05:31:40
72 1.18462386114934 0.32418828475026273 2024-08-29 05:31:54
73 1.206384795793054 0.3218651474085956 2024-08-29 05:32:08
74 1.1851647823176965 0.32319265446097684 2024-08-29 05:32:22
75 1.2113064922348273 0.3228607776978815 2024-08-29 05:32:35
76 1.217532062874714 0.3285026826705017 2024-08-29 05:32:49
77 1.1847447155389554 0.3521212456441175 2024-08-29 05:33:03
78 1.2156102593687956 0.328834559433597 2024-08-29 05:33:17
79 1.170181687350716 0.32612423253498535 2024-08-29 05:33:30
80 1.1961266386066498 0.3255711045964932 2024-08-29 05:33:44
81 1.1974314336089924 0.3249626638641518 2024-08-29 05:33:58
82 1.1905799641520307 0.32457547430720723 2024-08-29 05:34:12
83 1.178194124697716 0.3212567066762542 2024-08-29 05:34:25
84 1.180527843174348 0.32418828475026273 2024-08-29 05:34:39
85 1.1803979468336412 0.32673267326732675 2024-08-29 05:34:53
86 1.181674292745748 0.3269539244427236 2024-08-29 05:35:07
87 1.1702657415708733 0.326290170916533 2024-08-29 05:35:21
88 1.211076898301582 0.3227501521101831 2024-08-29 05:35:34
89 1.207629040013017 0.3269539244427236 2024-08-29 05:35:48
90 1.1759488008620893 0.32551579180264395 2024-08-29 05:36:02
91 1.201922001726062 0.32330328004867526 2024-08-29 05:36:16
92 1.19063220023977 0.32037170197466674 2024-08-29 05:36:29
93 1.197894252964047 0.3132916643619669 2024-08-29 05:36:43
94 1.2105585739764104 0.34852591404391836 2024-08-29 05:36:57
95 1.1666365433295773 0.3483599756623707 2024-08-29 05:37:11
96 1.1676514222562706 0.3496874827147519 2024-08-29 05:37:22
97 1.1659797031245498 0.3509596769732839 2024-08-29 05:37:32
98 1.1460837523384269 0.35173405608717295 2024-08-29 05:37:41
99 1.1855052421496395 0.3485812268377676 2024-08-29 05:37:50
100 1.1869563076426097 0.3358592842524476 2024-08-29 05:38:00
101 1.1959188960546598 0.33519553072625696 2024-08-29 05:38:09
102 1.1964494280730988 0.33740804248022566 2024-08-29 05:38:18
103 1.190603053835524 0.34753028375463246 2024-08-29 05:38:27
104 1.1629108975198563 0.3480280988992754 2024-08-29 05:38:37
105 1.1554674846328552 0.34681121743459264 2024-08-29 05:38:46
