Sat 31 Aug 2024 07:46:33 IDT

SLURM_JOBID:		 981356
SLURM_JOB_NODELIST:	 dt-cpu-03 


executing python ./train_darpatc.py --scene cadets
Start training graph 0 2024-08-31 07:46:41
Data(edge_index=[2, 4347080], test_mask=[362645], train_mask=[362645], x=[362645, 56], y=[362645])
feature  56 ; label  6
1 502.86550858637827 0.8966813274690124 2024-08-31 07:47:49
2 42.04059570762888 0.9097354161783563 2024-08-31 07:48:34
3 181.20872445043327 0.9142880778722994 2024-08-31 07:49:18
4 80.72852013229996 0.9141391719174399 2024-08-31 07:50:02
5 85.33810610996699 0.9266279695018544 2024-08-31 07:50:45
6 211.66444746622284 0.9146989480070041 2024-08-31 07:51:29
7 92.65525266753181 0.918151360145597 2024-08-31 07:52:13
8 88.50856380374944 0.9093796963973031 2024-08-31 07:52:57
9 71.78955386865785 0.9161549173434075 2024-08-31 07:53:41
10 49.02471695273334 0.9153579947331413 2024-08-31 07:54:25
11 53.053408462530946 0.9090405217223455 2024-08-31 07:55:09
12 39.64690610777053 0.9158378028099106 2024-08-31 07:55:53
13 29.591577148064893 0.9068565677177405 2024-08-31 07:56:37
14 25.98942097632835 0.9152532090612031 2024-08-31 07:57:21
15 537.6492930277974 0.9157688648678459 2024-08-31 07:58:04
16 92.07148856914962 0.9210660563360863 2024-08-31 07:58:48
17 73.7019419276625 0.9177267024224793 2024-08-31 07:59:32
18 55.98141765196647 0.9172496518633926 2024-08-31 08:00:16
19 71.5031984905052 0.9205090377642047 2024-08-31 08:01:00
20 52.411369095999454 0.9182313281583918 2024-08-31 08:01:44
21 47.16424336261111 0.9128045333590702 2024-08-31 08:02:28
22 31.60962463349515 0.920236043513629 2024-08-31 08:03:11
23 25.229759812278612 0.9202801637965503 2024-08-31 08:03:55
24 19.637598312120186 0.9198748086972107 2024-08-31 08:04:38
25 15.456343652558452 0.9202746487611851 2024-08-31 08:05:22
26 13.080944011269217 0.9203518592562975 2024-08-31 08:06:06
27 9.283956414136606 0.9193950006204414 2024-08-31 08:06:50
28 11.27741531138221 0.9349694604916654 2024-08-31 08:07:34
29 14.761722698989951 0.9370789615188407 2024-08-31 08:08:17
22818
339827
1 239.01582831477126 0.10592514681391883 2024-08-31 08:09:26
2 229.31603645983728 0.1542203523534052 2024-08-31 08:09:37
3 219.31465364152413 0.155184503462179 2024-08-31 08:09:48
4 421.8785617503874 0.13796125865544745 2024-08-31 08:10:00
5 170.75046206285475 0.15982995880445264 2024-08-31 08:10:11
6 133.73570410251742 0.22696993601542642 2024-08-31 08:10:22
7 171.03190582700694 0.2709264615654308 2024-08-31 08:10:33
8 166.80397939312124 0.27776316942764484 2024-08-31 08:10:44
9 122.44126996719008 0.27381891489175214 2024-08-31 08:10:55
10 21.323142393578447 0.3374528880708213 2024-08-31 08:11:07
11 14.461108348175044 0.36742922254360594 2024-08-31 08:11:18
12 38.67188618426382 0.37549303181698657 2024-08-31 08:11:29
13 18.28159535222702 0.3607239898325883 2024-08-31 08:11:40
14 104.3563400319628 0.36484354457007623 2024-08-31 08:11:51
15 15.651445509037657 0.34437724603383296 2024-08-31 08:12:02
16 28.807251711858857 0.3518275046016303 2024-08-31 08:12:14
17 60.84693553401958 0.3451222718906127 2024-08-31 08:12:25
18 8.799038228358382 0.34735734946095187 2024-08-31 08:12:36
19 13.73438756634554 0.3524848803576124 2024-08-31 08:12:47
20 15.063161082601702 0.3594530633710229 2024-08-31 08:12:58
21 9.09755572788721 0.3856166184591112 2024-08-31 08:13:09
22 17.1418304616181 0.36309054255412393 2024-08-31 08:13:20
23 14.850608092685952 0.3817600140240161 2024-08-31 08:13:32
24 23.845314905712215 0.3965290560084144 2024-08-31 08:13:43
