Sun 01 Sep 2024 10:29:51 IDT

SLURM_JOBID:		 986862
SLURM_JOB_NODELIST:	 ise-cpu-intl-13 


executing python ./train_darpatc.py --scene theia
rm: cannot remove 'result_*': No such file or directory
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-09-01 10:30:11
Data(edge_index=[2, 9388492], test_mask=[304973], train_mask=[304973], x=[304973, 36], y=[304973])
feature  36 ; label  5
1 1342.0771803497548 0.8350149029586226 2024-09-01 10:31:44
2 143.44174505842926 0.8480586806045125 2024-09-01 10:32:33
3 10.402603553889467 0.8585743655995777 2024-09-01 10:33:21
4 1.3951365962782223 0.8619648296734465 2024-09-01 10:34:08
5 0.9835988555011816 0.8614565879602457 2024-09-01 10:34:57
6 1.034464500373487 0.8601843441878462 2024-09-01 10:35:46
7 0.7955957362940946 0.8613549396176055 2024-09-01 10:36:33
8 0.6628875148510444 0.8627911323297472 2024-09-01 10:37:22
9 0.6252199970390605 0.8656044961357235 2024-09-01 10:38:11
10 0.6027368719568377 0.8635584133677408 2024-09-01 10:38:58
11 0.544726568125789 0.8625779987080824 2024-09-01 10:39:47
12 0.5452827787116722 0.8628272010964905 2024-09-01 10:40:36
13 0.5969010084048672 0.864751961649064 2024-09-01 10:41:26
14 0.5480623523300976 0.8674636771124001 2024-09-01 10:42:13
15 0.5370793780772117 0.867529256688297 2024-09-01 10:43:00
16 0.551080996093483 0.8701327658514032 2024-09-01 10:43:48
17 0.5272426039216677 0.8701622766605568 2024-09-01 10:44:37
18 0.517731780133862 0.8702508090880177 2024-09-01 10:45:27
19 0.5186741567507647 0.8698540526538415 2024-09-01 10:46:17
20 0.5127456104341493 0.8727592278660734 2024-09-01 10:47:05
21 0.515636837548551 0.8699720958904559 2024-09-01 10:47:54
22 0.5128266529711037 0.8718116029943634 2024-09-01 10:48:43
23 0.5117733734216029 0.8716706069061851 2024-09-01 10:49:33
24 0.5042605469156736 0.8701229289150187 2024-09-01 10:50:21
25 0.5103837454517726 0.8714935420512635 2024-09-01 10:51:09
26 0.5079241068752519 0.872641184629459 2024-09-01 10:51:59
27 0.5020476500553023 0.8704049210913753 2024-09-01 10:52:47
28 0.505626374277855 0.8702835988759661 2024-09-01 10:53:35
29 0.5045283557545887 0.8708606991438587 2024-09-01 10:54:23
39384
265589
1 3.8330635532915363 0.034201706276660575 2024-09-01 10:55:43
2 2.324825740165641 0.09369287020109689 2024-09-01 10:56:00
3 1.9146132762418053 0.15067032297379646 2024-09-01 10:56:19
4 1.625169835050925 0.17867661994718667 2024-09-01 10:56:37
5 1.3769344441076616 0.2183627869185456 2024-09-01 10:56:55
6 1.2812014208948033 0.6179412959577494 2024-09-01 10:57:14
7 1.1982531543429877 0.6219530773918343 2024-09-01 10:57:31
8 1.1190396348756428 0.6213944749136705 2024-09-01 10:57:49
9 1.1198632028464643 0.6206581352833638 2024-09-01 10:58:06
10 1.0838071845567205 0.6157830591102986 2024-09-01 10:58:24
11 1.059666197873363 0.6143103798496852 2024-09-01 10:58:42
12 1.0245972850229255 0.6227148080438757 2024-09-01 10:58:59
13 1.0174701307911034 0.632211050172659 2024-09-01 10:59:18
14 0.9782164297451605 0.6494515539305301 2024-09-01 10:59:36
13806
25578
1 1.6288040926641922 0.000651890482398957 2024-09-01 10:59:53
2 1.530307717207945 0.008619440822830653 2024-09-01 10:59:56
3 1.4265346576144138 0.017094017094017096 2024-09-01 11:00:00
4 1.3682799843555082 0.06019122120817036 2024-09-01 11:00:03
5 1.2346777480943434 0.06055338258728089 2024-09-01 11:00:07
6 1.2102833750557764 0.06055338258728089 2024-09-01 11:00:11
7 1.1340766650739655 0.6868028393452122 2024-09-01 11:00:14
8 1.0826639082575817 0.7011444299579893 2024-09-01 11:00:17
9 1.019264670872747 0.7021584818194988 2024-09-01 11:00:21
10 0.9804446150751265 0.7021584818194988 2024-09-01 11:00:24
4112
9694
1 1.6859830617904663 0.00024319066147859923 2024-09-01 11:00:30
2 1.6569510698318481 0.0009727626459143969 2024-09-01 11:00:33
3 1.5366816520690918 0.0012159533073929961 2024-09-01 11:00:35
4 1.6472405195236206 0.0017023346303501946 2024-09-01 11:00:38
5 1.603573203086853 0.0017023346303501946 2024-09-01 11:00:40
6 1.4607772827148438 0.0038910505836575876 2024-09-01 11:00:43
7 1.5307295322418213 0.005350194552529183 2024-09-01 11:00:45
8 1.4577651023864746 0.006566147859922179 2024-09-01 11:00:48
9 1.4277344942092896 0.00924124513618677 2024-09-01 11:00:51
10 1.3783077001571655 0.009484435797665369 2024-09-01 11:00:54
11 1.317618489265442 0.009970817120622567 2024-09-01 11:00:56
12 1.2856887578964233 0.020428015564202335 2024-09-01 11:00:59
13 1.2930008172988892 0.057392996108949414 2024-09-01 11:01:01
14 1.2113155126571655 0.08098249027237354 2024-09-01 11:01:04
15 1.2000789642333984 0.21254863813229571 2024-09-01 11:01:07
16 1.1467403173446655 0.32709143968871596 2024-09-01 11:01:09
17 1.1213656663894653 0.5034046692607004 2024-09-01 11:01:12
18 1.057989239692688 0.626215953307393 2024-09-01 11:01:14
19 1.01082181930542 0.6989299610894941 2024-09-01 11:01:17
20 0.9891964197158813 0.7492704280155642 2024-09-01 11:01:19
1031
3081
1 2.0285542011260986 0.11154219204655674 2024-09-01 11:01:23
2 1.7541736364364624 0.18331716779825413 2024-09-01 11:01:25
3 1.8242356777191162 0.22405431619786614 2024-09-01 11:01:27
4 1.857686161994934 0.3084384093113482 2024-09-01 11:01:29
5 1.5769342184066772 0.3569350145489816 2024-09-01 11:01:31
6 1.5705894231796265 0.41707080504364696 2024-09-01 11:01:33
7 1.627910852432251 0.5169738118331717 2024-09-01 11:01:36
8 1.425093173980713 0.542192046556741 2024-09-01 11:01:38
9 1.422423243522644 0.5674102812803103 2024-09-01 11:01:40
10 1.5391967296600342 0.5664403491755577 2024-09-01 11:01:42
11 1.4681247472763062 0.5751697381183317 2024-09-01 11:01:44
12 1.4248521327972412 0.5945683802133851 2024-09-01 11:01:46
13 1.4684118032455444 0.6032977691561591 2024-09-01 11:01:48
14 1.4130151271820068 0.6071774975751697 2024-09-01 11:01:50
15 1.3494892120361328 0.6071774975751697 2024-09-01 11:01:52
16 1.278983473777771 0.6071774975751697 2024-09-01 11:01:54
17 1.3811466693878174 0.6100872938894277 2024-09-01 11:01:57
18 1.252825140953064 0.6139670223084384 2024-09-01 11:01:59
19 1.2394788265228271 0.6265761396702231 2024-09-01 11:02:01
20 1.3251218795776367 0.6333656644034917 2024-09-01 11:02:03
21 1.3016746044158936 0.6382153249272551 2024-09-01 11:02:05
22 1.2438230514526367 0.6411251212415131 2024-09-01 11:02:07
23 1.165902018547058 0.6459747817652765 2024-09-01 11:02:10
24 1.1852667331695557 0.6459747817652765 2024-09-01 11:02:12
25 1.2716896533966064 0.6459747817652765 2024-09-01 11:02:14
26 1.1879111528396606 0.646944713870029 2024-09-01 11:02:16
27 1.2094050645828247 0.6479146459747818 2024-09-01 11:02:18
28 1.1943871974945068 0.6479146459747818 2024-09-01 11:02:20
29 1.1484414339065552 0.6479146459747818 2024-09-01 11:02:22
30 1.1600494384765625 0.6479146459747818 2024-09-01 11:02:24
31 1.064813494682312 0.6479146459747818 2024-09-01 11:02:26
32 1.1330856084823608 0.6517943743937924 2024-09-01 11:02:29
33 1.1000550985336304 0.6527643064985451 2024-09-01 11:02:31
34 1.1083757877349854 0.6527643064985451 2024-09-01 11:02:33
35 1.1028097867965698 0.6527643064985451 2024-09-01 11:02:35
36 1.1161439418792725 0.6537342386032978 2024-09-01 11:02:37
37 1.0647157430648804 0.6721629485935985 2024-09-01 11:02:39
38 1.0285921096801758 0.6789524733268671 2024-09-01 11:02:41
39 1.0212188959121704 0.6818622696411252 2024-09-01 11:02:44
40 1.0199042558670044 0.6828322017458778 2024-09-01 11:02:46
41 1.0433956384658813 0.6847720659553831 2024-09-01 11:02:48
42 0.982919454574585 0.6867119301648884 2024-09-01 11:02:50
323
708
1 1.8174912929534912 0.0 2024-09-01 11:02:51
2 1.7547119855880737 0.0 2024-09-01 11:02:51
3 1.7202210426330566 0.0 2024-09-01 11:02:52
4 1.6329762935638428 0.0 2024-09-01 11:02:52
5 1.621492862701416 0.0 2024-09-01 11:02:52
6 1.4838353395462036 0.0 2024-09-01 11:02:52
7 1.4162174463272095 0.0 2024-09-01 11:02:52
8 1.4667524099349976 0.006191950464396285 2024-09-01 11:02:52
9 1.4356058835983276 0.006191950464396285 2024-09-01 11:02:52
10 1.373241901397705 0.006191950464396285 2024-09-01 11:02:52
11 1.3115642070770264 0.021671826625386997 2024-09-01 11:02:52
12 1.3352349996566772 0.021671826625386997 2024-09-01 11:02:52
13 1.2502771615982056 0.021671826625386997 2024-09-01 11:02:52
14 1.25043523311615 0.034055727554179564 2024-09-01 11:02:53
15 1.2231383323669434 0.04953560371517028 2024-09-01 11:02:53
16 1.1791107654571533 0.05263157894736842 2024-09-01 11:02:53
17 1.1767438650131226 0.058823529411764705 2024-09-01 11:02:53
18 1.1341767311096191 0.11764705882352941 2024-09-01 11:02:53
19 1.086557149887085 0.1826625386996904 2024-09-01 11:02:53
20 1.0857380628585815 0.46439628482972134 2024-09-01 11:02:53
21 1.057366967201233 0.6842105263157895 2024-09-01 11:02:53
22 1.0692474842071533 0.6934984520123839 2024-09-01 11:02:53
23 0.9769145250320435 0.7058823529411765 2024-09-01 11:02:53
95
228
1 1.3840535879135132 0.0 2024-09-01 11:02:54
2 1.3422462940216064 0.0 2024-09-01 11:02:54
3 1.4182026386260986 0.0 2024-09-01 11:02:54
4 1.3625822067260742 0.0 2024-09-01 11:02:54
5 1.350361704826355 0.0 2024-09-01 11:02:54
6 1.2218220233917236 0.0 2024-09-01 11:02:54
7 1.260541319847107 0.0 2024-09-01 11:02:54
8 1.1456197500228882 0.0 2024-09-01 11:02:54
9 1.1302021741867065 0.11578947368421053 2024-09-01 11:02:54
10 1.0446990728378296 0.3263157894736842 2024-09-01 11:02:54
11 1.0210356712341309 0.5368421052631579 2024-09-01 11:02:54
12 1.012900710105896 0.6105263157894737 2024-09-01 11:02:54
13 0.8608336448669434 0.6210526315789474 2024-09-01 11:02:54
36
59
1 1.413500189781189 0.08333333333333333 2024-09-01 11:02:54
2 1.3360048532485962 0.1111111111111111 2024-09-01 11:02:54
3 1.3136730194091797 0.1388888888888889 2024-09-01 11:02:54
4 1.34929621219635 0.19444444444444445 2024-09-01 11:02:54
5 1.3026028871536255 0.25 2024-09-01 11:02:54
6 1.3332561254501343 0.2777777777777778 2024-09-01 11:02:54
7 1.315131664276123 0.3333333333333333 2024-09-01 11:02:54
8 1.3039422035217285 0.3611111111111111 2024-09-01 11:02:55
9 1.259578824043274 0.3611111111111111 2024-09-01 11:02:55
10 1.3117904663085938 0.3611111111111111 2024-09-01 11:02:55
11 1.2671499252319336 0.3611111111111111 2024-09-01 11:02:55
12 1.3198609352111816 0.3611111111111111 2024-09-01 11:02:55
13 1.3128958940505981 0.3611111111111111 2024-09-01 11:02:55
14 1.3127532005310059 0.3611111111111111 2024-09-01 11:02:55
15 1.3100420236587524 0.3611111111111111 2024-09-01 11:02:55
16 1.3582119941711426 0.3611111111111111 2024-09-01 11:02:55
17 1.3805863857269287 0.3611111111111111 2024-09-01 11:02:55
18 1.2399709224700928 0.3611111111111111 2024-09-01 11:02:55
19 1.2759016752243042 0.3611111111111111 2024-09-01 11:02:55
20 1.246572494506836 0.3611111111111111 2024-09-01 11:02:55
21 1.2555841207504272 0.3611111111111111 2024-09-01 11:02:55
22 1.1478172540664673 0.3888888888888889 2024-09-01 11:02:55
23 1.139293909072876 0.3888888888888889 2024-09-01 11:02:55
24 1.1664495468139648 0.3888888888888889 2024-09-01 11:02:55
25 1.138352870941162 0.3888888888888889 2024-09-01 11:02:55
