Thu 29 Aug 2024 04:51:34 IDT

SLURM_JOBID:		 969638
SLURM_JOB_NODELIST:	 ise-cpu-intl-21 


executing python ./train_darpatc.py --scene trace
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:05
Data(edge_index=[2, 3572351], test_mask=[1271939], train_mask=[1271939], x=[1271939, 46], y=[1271939])
feature  46 ; label  11
1 104.06036734340019 0.8324408639093541 2024-08-29 04:53:50
2 3.7995523888136695 0.8597417014495192 2024-08-29 04:55:11
3 3.8699054517604217 0.8082392315983706 2024-08-29 04:56:32
4 2.6290850953424383 0.8172019255640404 2024-08-29 04:57:53
5 1.7500675931792335 0.8928635728600193 2024-08-29 04:59:15
6 1.636011799281145 0.8338921913708126 2024-08-29 05:00:38
7 1.3069797860456132 0.7657513449937458 2024-08-29 05:01:58
8 1.0824696692905345 0.7658173858966507 2024-08-29 05:03:19
9 1.0742030472884279 0.7692082717803291 2024-08-29 05:04:42
10 1.2731105665045512 0.7388569734869361 2024-08-29 05:06:03
11 0.9324178391246498 0.6017309006170893 2024-08-29 05:07:23
12 0.8723281853845699 0.7386368371439196 2024-08-29 05:08:44
13 0.9942145973231493 0.7132079447206194 2024-08-29 05:10:04
14 0.9932293305226447 0.6174557113194894 2024-08-29 05:11:26
15 0.97994579671573 0.6107682836991397 2024-08-29 05:12:47
16 0.9723179009044176 0.8378735143745101 2024-08-29 05:14:08
17 1.0377926525409955 0.6219920923880784 2024-08-29 05:15:30
18 1.035767429622157 0.7001986730495724 2024-08-29 05:16:51
19 6.742070175866721 0.7052366504997488 2024-08-29 05:18:12
20 2.8082762580414378 0.7105710258117724 2024-08-29 05:19:35
21 2.2203524769828684 0.7069049694993235 2024-08-29 05:20:57
22 3.1283760456533964 0.7108697822772947 2024-08-29 05:22:17
23 2.0419992482467286 0.713255902995348 2024-08-29 05:23:37
24 2.3108641912193346 0.7118879128637459 2024-08-29 05:24:58
25 1.8924208032525525 0.7419459581001919 2024-08-29 05:26:20
26 1.6743702226470594 0.5892444527607062 2024-08-29 05:27:40
27 1.1140784359087064 0.5887711596232209 2024-08-29 05:29:01
28 1.0648570373463184 0.5908978339370048 2024-08-29 05:30:22
29 1.655199209226004 0.5891839152663768 2024-08-29 05:31:42
522533
749406
1 1.1835010628581688 0.7658865564471526 2024-08-29 05:34:24
2 0.9775026686469207 0.7721789819973093 2024-08-29 05:35:01
119044
403489
1 3.0148852126884593 0.019757400624979 2024-08-29 05:36:08
2 2.3547072998198253 0.03159336043815732 2024-08-29 05:36:21
3 1.9761088479050288 0.06218709048755082 2024-08-29 05:36:34
4 1.787029886248932 0.2881203588589093 2024-08-29 05:36:47
5 1.6832340599079734 0.45646147642888346 2024-08-29 05:36:59
6 1.6228786028423663 0.16419979167366688 2024-08-29 05:37:12
7 7.039194116656977 0.4485400356170828 2024-08-29 05:37:25
8 1.5420292043216461 0.44933805987702025 2024-08-29 05:37:38
9 1.518341865668049 0.4462299653909479 2024-08-29 05:37:50
10 1.499171134581277 0.4464315715197742 2024-08-29 05:38:03
11 1.48678603793083 0.45121971707939923 2024-08-29 05:38:16
12 1.492043968907071 0.4396105641611505 2024-08-29 05:38:29
13 1.4662332998673235 0.45208494338227884 2024-08-29 05:38:41
14 1.4488632911748334 0.48853365142300326 2024-08-29 05:38:54
15 1.4403449662217753 0.4537061926682571 2024-08-29 05:39:07
16 1.4287566825277338 0.4587295453781795 2024-08-29 05:39:20
17 1.800445394567903 0.4614260273512315 2024-08-29 05:39:32
18 1.4342202798184487 0.4503460905211518 2024-08-29 05:39:45
19 1.4306864246662447 0.4379473135983334 2024-08-29 05:39:58
20 1.4230475324700145 0.45358858909310845 2024-08-29 05:40:10
21 1.4245442646589055 0.43547763852021104 2024-08-29 05:40:23
22 1.4200258284886316 0.45125331810087027 2024-08-29 05:40:36
23 1.501556176058744 0.4379473135983334 2024-08-29 05:40:48
24 1.4112434210161549 0.4479856187628104 2024-08-29 05:41:01
25 1.4026034938756755 0.456654682302342 2024-08-29 05:41:13
26 1.3966189629608359 0.45878834716575384 2024-08-29 05:41:26
27 1.3906572968772108 0.46382010013104397 2024-08-29 05:41:38
28 1.3935610331625736 0.4549410302073183 2024-08-29 05:41:51
29 1.5457751759998597 0.6105137596182924 2024-08-29 05:42:04
30 1.2728236410783738 0.4597543765330466 2024-08-29 05:42:17
31 1.3849036262935899 0.46729780585329794 2024-08-29 05:42:29
32 1.3853345142729936 0.4583683343973657 2024-08-29 05:42:42
33 1.3827773413588125 0.4612832230099795 2024-08-29 05:42:55
34 1.3764201127602798 0.0862622223715601 2024-08-29 05:43:08
35 1.395776764995881 0.45775511575551897 2024-08-29 05:43:20
36 1.379264261132066 0.4640637075367091 2024-08-29 05:43:33
37 1.3733722241726507 0.46147642888343804 2024-08-29 05:43:46
38 1.3738516016170859 0.46320688148919725 2024-08-29 05:43:59
39 1.376665600000428 0.46013238802459594 2024-08-29 05:44:11
40 1.374906499504959 0.45962837270253015 2024-08-29 05:44:24
41 1.3679995234905602 0.4635680924700111 2024-08-29 05:44:37
42 1.3733684941047277 0.46432411545310975 2024-08-29 05:44:49
43 1.3682759287240287 0.4662141729108565 2024-08-29 05:45:02
44 1.359590758864291 0.5072914216592185 2024-08-29 05:45:14
45 1.3820086844381372 0.4511861160579282 2024-08-29 05:45:27
46 1.3828060638920192 0.4555290480830617 2024-08-29 05:45:40
47 1.3763735533433554 0.45655387923792884 2024-08-29 05:45:53
48 1.3774253337366686 0.4577467155001512 2024-08-29 05:46:06
49 1.3814443587888325 0.45531904169886767 2024-08-29 05:46:19
50 1.3752305584486435 0.45787271933066764 2024-08-29 05:46:32
51 1.3863711008192898 0.45440341386378147 2024-08-29 05:46:44
52 1.3732721731269486 0.4590487550821545 2024-08-29 05:46:58
53 1.375693584637257 0.4578139175430933 2024-08-29 05:47:10
54 6.8909055927476635 0.45483182688753737 2024-08-29 05:47:23
55 1.3891103326711542 0.44736399986559594 2024-08-29 05:47:36
56 1.3741246383599763 0.45468062229091766 2024-08-29 05:47:48
57 1.3783322977509407 0.45179933469977485 2024-08-29 05:48:01
58 1.373348148991226 0.4545042169281946 2024-08-29 05:48:14
59 1.3721975130698545 0.4579147206075065 2024-08-29 05:48:27
60 1.37559052004913 0.4545294176942979 2024-08-29 05:48:39
61 1.3674069597357315 0.4581751285239071 2024-08-29 05:48:52
62 1.3680109739111321 0.45809952622559724 2024-08-29 05:49:05
63 1.372392064949617 0.45678068613285844 2024-08-29 05:49:18
64 1.3749006003334672 0.45408420415980644 2024-08-29 05:49:30
65 1.3671043749950869 0.45856154027082424 2024-08-29 05:49:43
66 1.372347848761695 0.45641107489667687 2024-08-29 05:49:55
67 1.371108605690146 0.45686468868653607 2024-08-29 05:50:08
68 1.3701734492576978 0.45668828332381306 2024-08-29 05:50:20
69 1.3659629344956208 0.46493733409495647 2024-08-29 05:50:33
70 1.3758473247454888 0.45515943684688015 2024-08-29 05:50:46
71 1.3636881791873587 0.46104801585968214 2024-08-29 05:50:58
72 1.3650047248026915 0.07651792614495481 2024-08-29 05:51:11
73 1.3637559069432277 0.4568730889419038 2024-08-29 05:51:24
74 1.361811673768181 0.45643627566278017 2024-08-29 05:51:37
75 1.3550026783086468 0.4655505527368032 2024-08-29 05:51:49
76 1.3664246023608522 0.4581415275024361 2024-08-29 05:52:02
77 1.3561243114241996 0.4544370148852525 2024-08-29 05:52:14
78 1.360785785603718 0.45394980007392227 2024-08-29 05:52:27
79 1.3537237977537753 0.45162292933705184 2024-08-29 05:52:40
80 1.3560399392099696 0.4503712912872551 2024-08-29 05:52:52
81 1.348246900013332 0.4572847014549242 2024-08-29 05:53:05
82 1.3523910711907614 0.4537229931789926 2024-08-29 05:53:18
83 5.385628684210099 0.4568730889419038 2024-08-29 05:53:30
84 1.3467040726271797 0.45843553644030777 2024-08-29 05:53:43
85 1.353811701997338 0.45459661973724 2024-08-29 05:53:56
86 1.347859293750159 0.46084640973085583 2024-08-29 05:54:08
87 1.3473492703656187 0.45869594435670846 2024-08-29 05:54:21
88 1.344122334968771 0.4604599979839387 2024-08-29 05:54:34
